time	UnixTime	FPS	HeadPos	HeadRot	Valid	GazeOrigin	GazeDir	Conf	FixPoint	LBlink	RBlink	LPupil	RPupil	LOrigin	LDir	ROrigin	RDir	HitPos	HitName	
2.500082	1763568710.426	71.206818	-257.526823,173.061171,168.414185	0.005976,0.061968,-0.194262,0.978972	T	-257.526822,173.061173,168.414185	0.82201,-0.507183,-0.258968	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.974044,44.999972,103.024135	StaticMeshActor_1	
2.513844	1763568710.44	71.630157	-257.508446,173.076547,168.424713	0.005126,0.061321,-0.194017,0.979066	T	-257.506116,173.075592,168.427856	0.822614,-0.507283,-0.256845	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.807092,44.993113,103.575685	StaticMeshActor_1	
2.527892	1763568710.453	72.726196	-257.478269,173.085461,168.452881	0.004123,0.060127,-0.193665,0.979215	T	-257.478269,173.085461,168.452866	0.822603,-0.507848,-0.255763	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.769804,44.85289,103.870021	StaticMeshActor_1	
2.541913	1763568710.468	70.679375	-257.45573,173.088459,168.474457	0.003313,0.059069,-0.193512,0.979312	T	-257.45573,173.088459,168.474457	0.82327,-0.508001,-0.2533	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.583909,44.820145,104.515134	StaticMeshActor_1	
2.555889	1763568710.483	72.04248	-257.44438,173.097321,168.481583	0.003177,0.059737,-0.193286,0.979317	T	-257.44438,173.097321,168.481583	0.821446,-0.509505,-0.256188	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.968056,44.409054,103.772894	StaticMeshActor_1	
2.569847	1763568710.496	71.702065	-257.440918,173.113123,168.473175	0.003846,0.060668,-0.193014,0.979311	T	-257.440918,173.113126,168.473175	0.821276,-0.508691,-0.25834	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-50.042284,44.651821,103.231826	StaticMeshActor_1	
2.583807	1763568710.511	72.254852	-257.440422,173.129046,168.46727	0.004525,0.061047,-0.192893,0.979308	T	-257.440423,173.129044,168.46727	0.821231,-0.508178,-0.259491	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-50.071992,44.808991,102.941206	StaticMeshActor_1	
2.597797	1763568710.524	71.190086	-257.437757,173.13037,168.475113	0.004459,0.060309,-0.19281,0.979371	T	-257.437757,173.130368,168.475113	0.822301,-0.507376,-0.257664	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.837675,45.036721,103.422344	StaticMeshActor_1	
2.611875	1763568710.538	71.375549	-257.42876,173.128169,168.497498	0.003999,0.059068,-0.193134,0.979385	T	-257.42876,173.128167,168.497498	0.822582,-0.50822,-0.255091	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.723941,44.800452,104.083914	StaticMeshActor_1	
2.625679	1763568710.553	71.068665	-257.418218,173.13176,168.51358	0.00327,0.058283,-0.19315,0.979431	T	-257.418218,173.131762,168.51358	0.822418,-0.509147,-0.253767	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.716354,44.54611,104.422456	StaticMeshActor_1	
2.639851	1763568710.566	72.442772	-257.415401,173.134226,168.522263	0.002284,0.058397,-0.193072,0.979443	T	-257.415401,173.134226,168.522263	0.822405,-0.509398,-0.253306	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-49.704981,44.477771,104.543804	StaticMeshActor_1	
